	Line	Name	Lat/Lon	Order
0	L5	Cornellà Centre	41.357315951168 , 2.07044325855937	1
1	L5	Gavarra	41.3580221811863 , 2.07929676467967	2
2	L5	Sant Ildefons	41.3634004007812 , 2.08440567589003	3
3	L5	Can Boixeres	41.3665946412198 , 2.09152995763886	4
4	L5	Can Vidalet	41.3711699811588 , 2.09936987151888	5
5	L5	Pubilla Cases	41.3738678305867 , 2.10722761135461	6
6	L5	Collblanc	41.3757732657525 , 2.11924135425625	7
7	L5	Badal	41.3756059321753 , 2.12744302393462	8
8	L5	Plaça de Sants	41.3757560588641 , 2.13518270144983	9
9	L5	Sants Estació	41.3799913070601 , 2.14043733691486	10
10	L5	Entença	41.3844941751042 , 2.14563915079201	11
11	L5	Hospital Clínic	41.3886531870785 , 2.15112142588565	12
12	L5	Vall d'Hebrón	41.4250234333411 , 2.14243461427776	26
13	L5	El Coll | La Teixonera	41.4220245616754 , 2.14837108073817	25
14	L5	El Carmel	41.4244436630274 , 2.15511937953302	24
15	L5	Diagonal	41.3944632613854 , 2.15884813430305	13
16	L5	Verdaguer	41.3989796695232 , 2.16710780784334	14
17	L5	Sagrada Família	41.4038636505993 , 2.17363608763723	15
18	L5	Sant Pau | Dos de Maig	41.4107778970515 , 2.17602987207361	16
19	L5	Horta	41.4297175290961 , 2.15997712882721	23
20	L5	Vilapicina	41.4304903004493 , 2.16768016845503	22
21	L5	Maragall	41.4250735421976 , 2.17650199594126	20
22	L5	Virrei Amat	41.4297305579876 , 2.1749281570428	21
23	L5	Camp de L'Arpa	41.4150761407851 , 2.18149899491483	17
24	L5	Congrés	41.4234671018064 , 2.1811927496259	19
25	L5	La Sagrera	41.4212864581677 , 2.18658395857032	18
