name,Lat,Lon
Hospital de Bellvitge,41.3447089189291 , 2.10726442487254
Bellvitge,41.351002103227 , 2.11093265881712
Av.Carrilet,41.3585530196421 , 2.10266580260399
Rbla. Just Oliveres,41.3641197960023 , 2.09977453332527
Can Serra,41.3677230761094 , 2.10277664046037
Florida,41.3683454383485 , 2.11001897049028
Torrassa,41.3684250526322 , 2.11662439227314
Santa Eulàlia,41.3688492313307 , 2.12864100990867
Mercat Nou,41.3733346013228 , 2.13381942920113
Plaça de Sants,41.3753819450694 , 2.13817096385347
Hostafrancs,41.3752823216963 , 2.14331481108942
Espanya,41.375541990375 , 2.14940637505904
Rocafort,41.379268210643 , 2.15458880966092
Urgell,41.3825190435109 , 2.15891098529247
Universitat,41.3858268159287 , 2.16429773978502
Catalunya,41.3875748996741 , 2.16917178913172
Urquinaona,41.3896771578975 , 2.17458027903158
Arc de Triomf,41.3923576815825 , 2.18114567601345
Marina,41.3947589060179 , 2.18581564614182
Glòries,41.4023637999479 , 2.18756003700547
Clot,41.4101947574477 , 2.18701789252361
Navas,41.4162576633657 , 2.18705891004563
La Sagrera,41.4224489394887 , 2.18698698748017
Fabra i Puig,41.4296919347651 , 2.18366333165997
Sant Andreu,41.4366600602109 , 2.19120189357876
Torres i Bages,41.4432435844691 , 2.19071074785519
Trinitat Vella,41.4490032874062 , 2.19388362741804
Baró de Viver,41.4499647103183 , 2.19957936831323
Santa Coloma,41.4510968572408 , 2.20799089718003
Fondo,41.4516133714008 , 2.21847567034432
Paral.lel,41.375039139559 , 2.16913024692333
Sant Antoni,41.3798587329518 , 2.1632887586535
Passeig de Gràcia,41.3894163760186 , 2.16823683974007
Tetuan,41.3948996769105 , 2.17553562920688
Monumental,41.4004929554527 , 2.17952263230581
Sagrada Família,41.4039969134632 , 2.17514745470531
Encants,41.4072864680062 , 2.1827519784438
Bac de Roda,41.4151753337543 , 2.19550432669064
Sant Martí,41.4191123676228 , 2.20077638100069
La Pau,41.4241469840362 , 2.20558808922946
Verneda,41.4300427497672 , 2.20990191350488
Artigues Sant Adrià,41.4338278181095 , 2.21768382981863
Sant Roc,41.4358194300033 , 2.2285794819181
Gorg,41.4402793240193 , 2.23346831479129
Pep Ventura,41.4439616490883 , 2.23799996153456
Badalona Pompeu Fabra,41.4491346834602 , 2.24417083038483
Zona Universitària,41.3841404077719 , 2.11116587365903
Palau Reial,41.3860211631295 , 2.11859030534594
Maria Cristina,41.3878658876322 , 2.12588078854278
Les Corts,41.3841243011195 , 2.13089948651418
Plaça del Centre,41.3819459953545 , 2.1358749331136
Sants Estació,41.381613567591 , 2.14102524477169
Tarragona,41.3785431899842 , 2.14532511165999
Poble Sec,41.3750274796757 , 2.16027150654591
Drassanes,41.3765658912591 , 2.17567091764783
Liceu,41.3814661024195 , 2.1730492173041
Diagonal,41.3959157261745 , 2.16007069012956
Fontana,41.4020175545979 , 2.15305426943399
Lesseps,41.4057005854403 , 2.15048581458015
Vallcarca,41.4120164709601 , 2.14432244155947
Penitents,41.4183305594342 , 2.14098280337625
Vall d'Hebrón,41.4252970069324 , 2.14256930175703
Montbau,41.4306544208465 , 2.14505193131497
Mundet,41.4357688982928 , 2.14859090896243
Valldaura,41.4380515005838 , 2.15693039004997
Canyelles,41.4417702469479 , 2.16633743592508
Roquetes,41.4476983787111 , 2.17610978451663
Trinitat Nova,41.4495315866864 , 2.18411257661403
Besòs,41.4199054057797 , 2.21027029188204
Besòs Mar,41.415132745723 , 2.21609189178864
El Maresme | Fórum,41.4118270413406 , 2.21672409917827
Selva de Mar,41.4080885355949 , 2.20920449021996
Poblenou,41.4037236975489 , 2.20335092282408
Llacuna,41.3994321319653 , 2.19769012625739
Bogatell,41.3951337619307 , 2.19201295462194
Ciutadella Vila Olímpica,41.3867239899615 , 2.19300720217757
Barceloneta,41.3818891152973 , 2.18489341522917
Jaume I,41.3841228723178 , 2.17858081953018
Girona,41.3949667171971 , 2.1708457952076
Verdaguer,41.4003552658023 , 2.16811691027426
Joanic,41.4064269836309 , 2.16322187660929
Alfons X,41.4124274518153 , 2.16643944352259
Guinardó | Hospital de Sant Pau,41.4160129419915 , 2.17400701425785
Maragall,41.4231194304848 , 2.17740854790596
Llucmajor,41.4370677708048 , 2.17341123988904
Via Júlia,41.443872126503 , 2.1786024624582
Cornellà Centre,41.357315951168 , 2.07044325855937
Gavarra,41.3580221811863 , 2.07929676467967
Sant Ildefons,41.3634004007812 , 2.08440567589003
Can Boixeres,41.3665946412198 , 2.09152995763886
Can Vidalet,41.3711699811588 , 2.09936987151888
Pubilla Cases,41.3738678305867 , 2.10722761135461
Collblanc,41.3757732657525 , 2.11924135425625
Badal,41.3756059321753 , 2.12744302393462
Plaça de Sants,41.3757560588641 , 2.13518270144983
Entença,41.3844941751042 , 2.14563915079201
Hospital Clínic,41.3886531870785 , 2.15112142588565
El Coll | La Teixonera,41.4220245616754 , 2.14837108073817
El Carmel,41.4244436630274 , 2.15511937953302
Sant Pau | Dos de Maig,41.4107778970515 , 2.17602987207361
Horta,41.4297175290961 , 2.15997712882721
Vilapicina,41.4304903004493 , 2.16768016845503
Virrei Amat,41.4297305579876 , 2.1749281570428
Camp de L'Arpa,41.4150761407851 , 2.18149899491483
Congrés,41.4234671018064 , 2.1811927496259
Can Zam,41.4566998784377 , 2.1985863050585
Singuerlín,41.4592880031669 , 2.20563372670358
Església Major,41.454710956933 , 2.212488623794
Can Peixauet,41.443955768203 , 2.21001496404333
Llefià,41.4414636713731 , 2.21717679322061
La Salut,41.4428407809102 , 2.22449035582457
