	nodo1	nodo2	line	weight	color
0	Hospital de Bellvitge	Bellvitge	L1	0.92	red
1	Bellvitge	Av.Carrilet	L1	0.92	red
2	Av.Carrilet	Rbla. Just Oliveres	L1	0.92	red
3	Rbla. Just Oliveres	Can Serra	L1	0.92	red
4	Can Serra	Florida	L1	0.92	red
5	Florida	Torrassa	L1	0.92	red
6	Torrassa	Santa Eulàlia	L1	0.92	red
7	Santa Eulàlia	Mercat Nou	L1	0.92	red
8	Mercat Nou	Plaça de Sants	L1	0.92	red
9	Plaça de Sants	Hostafrancs	L1	0.92	red
10	Hostafrancs	Espanya	L1	0.92	red
11	Espanya	Rocafort	L1	0.92	red
12	Rocafort	Urgell	L1	0.92	red
13	Urgell	Universitat	L1	0.92	red
14	Universitat	Catalunya	L1	0.92	red
15	Catalunya	Urquinaona	L1	0.92	red
16	Urquinaona	Arc de Triomf	L1	0.92	red
17	Arc de Triomf	Marina	L1	0.92	red
18	Marina	Glòries	L1	0.92	red
19	Glòries	Clot	L1	0.92	red
20	Clot	Navas	L1	0.92	red
21	Navas	La Sagrera	L1	0.92	red
22	La Sagrera	Fabra i Puig	L1	0.92	red
23	Fabra i Puig	Sant Andreu	L1	0.92	red
24	Sant Andreu	Torres i Bages	L1	0.92	red
25	Torres i Bages	Trinitat Vella	L1	0.92	red
26	Trinitat Vella	Baró de Viver	L1	0.92	red
27	Baró de Viver	Santa Coloma	L1	0.92	red
28	Santa Coloma	Fondo	L1	0.92	red
29	Paral.lel	Sant Antoni	L2	0.76	purple
30	Sant Antoni	Universitat	L2	0.76	purple
31	Universitat	Passeig de Gràcia	L2	0.76	purple
32	Passeig de Gràcia	Tetuan	L2	0.76	purple
33	Tetuan	Monumental	L2	0.76	purple
34	Monumental	Sagrada Família	L2	0.76	purple
35	Sagrada Família	Encants	L2	0.76	purple
36	Encants	Clot	L2	0.76	purple
37	Clot	Bac de Roda	L2	0.76	purple
38	Bac de Roda	Sant Martí	L2	0.76	purple
39	Sant Martí	La Pau	L2	0.76	purple
40	La Pau	Verneda	L2	0.76	purple
41	Verneda	Artigues Sant Adrià	L2	0.76	purple
42	Artigues Sant Adrià	Sant Roc	L2	0.76	purple
43	Sant Roc	Gorg	L2	0.76	purple
44	Gorg	Pep Ventura	L2	0.76	purple
45	Pep Ventura	Badalona Pompeu Fabra	L2	0.76	purple
46	Zona Universitària	Palau Reial	L3	0.71	green
47	Palau Reial	Maria Cristina	L3	0.71	green
48	Maria Cristina	Les Corts	L3	0.71	green
49	Les Corts	Plaça del Centre	L3	0.71	green
50	Plaça del Centre	Sants Estació	L3	0.71	green
51	Sants Estació	Tarragona	L3	0.71	green
52	Tarragona	Espanya	L3	0.71	green
53	Espanya	Poble Sec	L3	0.71	green
54	Poble Sec	Paral.lel	L3	0.71	green
55	Paral.lel	Drassanes	L3	0.71	green
56	Drassanes	Liceu	L3	0.71	green
57	Liceu	Catalunya	L3	0.71	green
58	Catalunya	Passeig de Gràcia	L3	0.71	green
59	Passeig de Gràcia	Diagonal	L3	0.71	green
60	Diagonal	Fontana	L3	0.71	green
61	Fontana	Lesseps	L3	0.71	green
62	Lesseps	Vallcarca	L3	0.71	green
63	Vallcarca	Penitents	L3	0.71	green
64	Penitents	Vall d'Hebrón	L3	0.71	green
65	Vall d'Hebrón	Montbau	L3	0.71	green
66	Montbau	Mundet	L3	0.71	green
67	Mundet	Valldaura	L3	0.71	green
68	Valldaura	Canyelles	L3	0.71	green
69	Canyelles	Roquetes	L3	0.71	green
70	Roquetes	Trinitat Nova	L3	0.71	green
71	La Pau	Besòs	L4	0.79	yellow
72	Besòs	Besòs Mar	L4	0.79	yellow
73	Besòs Mar	El Maresme | Fórum	L4	0.79	yellow
74	El Maresme | Fórum	Selva de Mar	L4	0.79	yellow
75	Selva de Mar	Poblenou	L4	0.79	yellow
76	Poblenou	Llacuna	L4	0.79	yellow
77	Llacuna	Bogatell	L4	0.79	yellow
78	Bogatell	Ciutadella Vila Olímpica	L4	0.79	yellow
79	Ciutadella Vila Olímpica	Barceloneta	L4	0.79	yellow
80	Barceloneta	Jaume I	L4	0.79	yellow
81	Jaume I	Urquinaona	L4	0.79	yellow
82	Urquinaona	Passeig de Gràcia	L4	0.79	yellow
83	Passeig de Gràcia	Girona	L4	0.79	yellow
84	Girona	Verdaguer	L4	0.79	yellow
85	Verdaguer	Joanic	L4	0.79	yellow
86	Joanic	Alfons X	L4	0.79	yellow
87	Alfons X	Guinardó | Hospital de Sant Pau	L4	0.79	yellow
88	Guinardó | Hospital de Sant Pau	Maragall	L4	0.79	yellow
89	Maragall	Llucmajor	L4	0.79	yellow
90	Llucmajor	Via Júlia	L4	0.79	yellow
91	Via Júlia	Trinitat Nova	L4	0.79	yellow
92	Cornellà Centre	Gavarra	L5	0.74	0B05B9
93	Gavarra	Sant Ildefons	L5	0.74	0B05B9
94	Sant Ildefons	Can Boixeres	L5	0.74	0B05B9
95	Can Boixeres	Can Vidalet	L5	0.74	0B05B9
96	Can Vidalet	Pubilla Cases	L5	0.74	0B05B9
97	Pubilla Cases	Collblanc	L5	0.74	0B05B9
98	Collblanc	Badal	L5	0.74	0B05B9
99	Badal	Plaça de Sants	L5	0.74	0B05B9
100	Plaça de Sants	Sants Estació	L5	0.74	0B05B9
101	Sants Estació	Entença	L5	0.74	0B05B9
102	Entença	Hospital Clínic	L5	0.74	0B05B9
103	Hospital Clínic	Diagonal	L5	0.74	0B05B9
104	Diagonal	Verdaguer	L5	0.74	0B05B9
105	Verdaguer	Sagrada Família	L5	0.74	0B05B9
106	Sagrada Família	Sant Pau | Dos de Maig	L5	0.74	0B05B9
107	Sant Pau | Dos de Maig	Camp de L'Arpa	L5	0.74	0B05B9
108	Camp de L'Arpa	La Sagrera	L5	0.74	0B05B9
109	La Sagrera	Congrés	L5	0.74	0B05B9
110	Congrés	Maragall	L5	0.74	0B05B9
111	Maragall	Virrei Amat	L5	0.74	0B05B9
112	Virrei Amat	Vilapicina	L5	0.74	0B05B9
113	Vilapicina	Horta	L5	0.74	0B05B9
114	Horta	El Carmel	L5	0.74	0B05B9
115	El Carmel	El Coll | La Teixonera	L5	0.74	0B05B9
116	El Coll | La Teixonera	Vall d'Hebrón	L5	0.74	0B05B9
117	Can Zam	Singuerlín	L9	1.21	orange
118	Singuerlín	Església Major	L9	1.21	orange
119	Església Major	Fondo	L9	1.21	orange
120	Fondo	Can Peixauet	L9	1.21	orange
121	Llefià	La Salut	L10	0.92	dark blue
122	La Salut	Gorg	L10	0.92	dark blue
123	Trinitat Nova	Casa de L'Aigua	L11	0.42	green
124	Casa de L'Aigua	Torre Baró | Vallbona	L11	0.42	green
125	Torre Baró | Vallbona	Ciutat Meridiana	L11	0.42	green
126	Ciutat Meridiana	Can Cuiàs	L11	0.42	green
