district,id,#alimentacio,#alimentacio/1000hab,value
01,01,281,5.962358632689003,5.962358632689003
01,02,148,9.47867298578199,9.47867298578199
01,03,85,5.658744424472405,5.658744424472405
01,04,165,7.397112884425715,7.397112884425715
02,05,104,3.2856285344201184,3.2856285344201184
02,06,244,4.754296403101984,4.754296403101984
02,07,242,5.544862982311429,5.544862982311429
02,08,242,5.782004109523582,5.782004109523582
02,09,226,3.9203441576464058,3.9203441576464058
02,10,211,5.525874711921223,5.525874711921223
03,11,168,4.1942329297216325,4.1942329297216325
03,12,5,4.374453193350831,4.374453193350831
03,13,79,2.5999670890241897,2.5999670890241897
03,14,27,2.6208503203261504,2.6208503203261504
03,15,46,2.895084649757694,2.895084649757694
03,16,56,3.025064822817632,3.025064822817632
03,17,67,2.802643687777127,2.802643687777127
03,18,138,3.3835969106289077,3.3835969106289077
04,19,157,3.4180963162936515,3.4180963162936515
04,20,52,2.1804763502180475,2.1804763502180475
04,21,23,1.9389647614230314,1.9389647614230314
05,22,6,1.2953367875647668,1.2953367875647668
05,23,103,4.153393281987177,4.153393281987177
05,24,37,2.2460996782613973,2.2460996782613973
05,25,96,3.7405026300409117,3.7405026300409117
05,26,203,4.3109855804965065,4.3109855804965065
05,27,99,3.3710160719150095,3.3710160719150095
06,28,32,2.052466166378039,2.052466166378039
06,29,17,2.3000947097821673,2.3000947097821673
06,30,41,3.1254764445799665,3.1254764445799665
06,31,358,7.077336707259213,7.077336707259213
06,32,155,4.527662557691184,4.527662557691184
07,33,99,3.8752103965240536,3.8752103965240536
07,34,19,2.1193530395984386,2.1193530395984386
07,35,121,3.348461368164711,3.348461368164711
07,36,7,0.7446808510638298,0.7446808510638298
07,37,96,3.061712645511083,3.061712645511083
07,38,31,2.748958056220626,2.748958056220626
07,39,11,1.6356877323420074,1.6356877323420074
07,40,14,2.770631308133782,2.770631308133782
07,41,6,1.0552233556102708,1.0552233556102708
07,42,0,0.0,0.0
07,43,101,3.805433103500245,3.805433103500245
08,44,90,3.5283048455386545,3.5283048455386545
08,45,83,3.385129899261797,3.385129899261797
08,46,58,3.7750585784951833,3.7750585784951833
08,47,1,0.4428697962798937,0.4428697962798937
08,48,34,2.2601874626071927,2.2601874626071927
08,49,13,1.8777986422071355,1.8777986422071355
08,50,39,2.532796467073646,2.532796467073646
08,51,53,4.32300163132137,4.32300163132137
08,52,101,3.8598234417395956,3.8598234417395956
08,53,7,0.9645859170456111,0.9645859170456111
08,54,0,0.0,0.0
08,55,17,1.693058460312718,1.693058460312718
08,56,0,0.0,0.0
09,57,25,2.492025518341308,2.492025518341308
09,58,2,0.7977662544874352,0.7977662544874352
09,59,26,2.0652950988958616,2.0652950988958616
09,60,183,3.228481202476933,3.228481202476933
09,61,82,2.847617724683984,2.847617724683984
09,62,55,3.916263172885218,3.916263172885218
09,63,58,2.6268115942028984,2.6268115942028984
10,64,168,4.408985933235356,4.408985933235356
10,65,97,3.60621607554465,3.60621607554465
10,66,40,2.695781102574471,2.695781102574471
10,67,14,1.4997321906802357,1.4997321906802357
10,68,136,4.049306258560114,4.049306258560114
10,69,18,1.3435843845637083,1.3435843845637083
10,70,66,2.9016090741229226,2.9016090741229226
10,71,37,1.816485836319898,1.816485836319898
10,72,80,3.0757400999615534,3.0757400999615534
10,73,107,3.7353813929132484,3.7353813929132484
