district,id,#restaurants,#restaurants/1000hab,value
01,01,72,1.5277217848882854,1.5277217848882854
01,02,114,7.301140002561803,7.301140002561803
01,03,122,8.121962585713336,8.121962585713336
01,04,67,3.003676140948624,3.003676140948624
02,05,31,0.9793700439136891,0.9793700439136891
02,06,97,1.8900276684462805,1.8900276684462805
02,07,258,5.911465493538631,5.911465493538631
02,08,254,6.0687150571032635,6.0687150571032635
02,09,92,1.5958923119622537,1.5958923119622537
02,10,48,1.2570710245128849,1.2570710245128849
03,11,51,1.2732492822369241,1.2732492822369241
03,12,2,1.7497812773403325,1.7497812773403325
03,13,17,0.5594865887773572,0.5594865887773572
03,14,3,0.29120559114735,0.29120559114735
03,15,20,1.2587324564163886,1.2587324564163886
03,16,4,0.21607605877268798,0.21607605877268798
03,17,6,0.2509830168158621,0.2509830168158621
03,18,42,1.0297903641044501,1.0297903641044501
04,19,83,1.807019071671166,1.807019071671166
04,20,20,0.8386447500838645,0.8386447500838645
04,21,11,0.9273309728544933,0.9273309728544933
05,22,8,1.7271157167530224,1.7271157167530224
05,23,29,1.1694019920158072,1.1694019920158072
05,24,26,1.578340314453955,1.578340314453955
05,25,53,2.065069160335087,2.065069160335087
05,26,146,3.1005117968102955,3.1005117968102955
05,27,35,1.1917733587578316,1.1917733587578316
06,28,5,0.3206978384965685,0.3206978384965685
06,29,2,0.2705993776214315,0.2705993776214315
06,30,9,0.6860801951516999,0.6860801951516999
06,31,136,2.6885971848805945,2.6885971848805945
06,32,42,1.2268504995034177,1.2268504995034177
07,33,30,1.1743061807648647,1.1743061807648647
07,34,1,0.11154489682097044,0.11154489682097044
07,35,24,0.6641576267434137,0.6641576267434137
07,36,2,0.2127659574468085,0.2127659574468085
07,37,3,0.09567852017222134,0.09567852017222134
07,38,3,0.26602819898909286,0.26602819898909286
07,39,1,0.14869888475836432,0.14869888475836432
07,40,4,0.7916089451810805,0.7916089451810805
07,41,5,0.8793527963418923,0.8793527963418923
07,42,0,0.0,0.0
07,43,25,0.9419388870050112,0.9419388870050112
08,44,13,0.5096440332444723,0.5096440332444723
08,45,7,0.28549288307027204,0.28549288307027204
08,46,3,0.19526165061181983,0.19526165061181983
08,47,0,0.0,0.0
08,48,10,0.6647610184138802,0.6647610184138802
08,49,0,0.0,0.0
08,50,1,0.06494349915573451,0.06494349915573451
08,51,5,0.4078303425774878,0.4078303425774878
08,52,7,0.2675125157641304,0.2675125157641304
08,53,0,0.0,0.0
08,54,1,0.35829451809387314,0.35829451809387314
08,55,0,0.0,0.0
08,56,0,0.0,0.0
09,57,2,0.19936204146730463,0.19936204146730463
09,58,0,0.0,0.0
09,59,5,0.39717213440305027,0.39717213440305027
09,60,38,0.6703950037930244,0.6703950037930244
09,61,7,0.2430893179608279,0.2430893179608279
09,62,15,1.0680717744232413,1.0680717744232413
09,63,8,0.36231884057971014,0.36231884057971014
10,64,16,0.419903422212891,0.419903422212891
10,65,15,0.5576622797233995,0.5576622797233995
10,66,12,0.8087343307723412,0.8087343307723412
10,67,12,1.2854847348687735,1.2854847348687735
10,68,48,1.4291669147859227,1.4291669147859227
10,69,3,0.22393073076061804,0.22393073076061804
10,70,8,0.3517101908027785,0.3517101908027785
10,71,15,0.7364131768864451,0.7364131768864451
10,72,8,0.3075740099961553,0.3075740099961553
10,73,5,0.17455053237912377,0.17455053237912377
