district,id,#roba,#roba/1000hab,value
01,01,258,5.474336395849689,5.474336395849689
01,02,535,34.26412194184706,34.26412194184706
01,03,49,3.262099727048798,3.262099727048798
01,04,410,18.380704743118443,18.380704743118443
02,05,69,2.1798881622595014,2.1798881622595014
02,06,267,5.202447293558318,5.202447293558318
02,07,751,17.20740537072679,17.20740537072679
02,08,314,7.502269795001673,7.502269795001673
02,09,155,2.6887316125451015,2.6887316125451015
02,10,225,5.892520427404149,5.892520427404149
03,11,47,1.1733865934340282,1.1733865934340282
03,12,0,0.0,0.0
03,13,33,1.0860622017442818,1.0860622017442818
03,14,6,0.5824111822947,0.5824111822947
03,15,72,4.531436843099,4.531436843099
03,16,19,1.0263612791702679,1.0263612791702679
03,17,55,2.300677654145403,2.300677654145403
03,18,154,3.775898001716317,3.775898001716317
04,19,145,3.1568405468954106,3.1568405468954106
04,20,28,1.1741026501174103,1.1741026501174103
04,21,20,1.686056314280897,1.686056314280897
05,22,1,0.2158894645941278,0.2158894645941278
05,23,111,4.475986934957055,4.475986934957055
05,24,11,0.6677593638074425,0.6677593638074425
05,25,143,5.571790375998441,5.571790375998441
05,26,572,12.14721060120198,12.14721060120198
05,27,83,2.826205393625715,2.826205393625715
06,28,21,1.3469309216855878,1.3469309216855878
06,29,4,0.541198755242863,0.541198755242863
06,30,27,2.0582405854551,2.0582405854551
06,31,525,10.378775897517002,10.378775897517002
06,32,147,4.2939767482619615,4.2939767482619615
07,33,72,2.8183348338356753,2.8183348338356753
07,34,8,0.8923591745677635,0.8923591745677635
07,35,68,1.8817799424396724,1.8817799424396724
07,36,1,0.10638297872340426,0.10638297872340426
07,37,71,2.264391644075905,2.264391644075905
07,38,7,0.6207324643078833,0.6207324643078833
07,39,5,0.7434944237918215,0.7434944237918215
07,40,1,0.19790223629527012,0.19790223629527012
07,41,3,0.5276116778051354,0.5276116778051354
07,42,0,0.0,0.0
07,43,104,3.918465769940846,3.918465769940846
08,44,96,3.763525168574565,3.763525168574565
08,45,77,3.140421713772992,3.140421713772992
08,46,53,3.4496224941421505,3.4496224941421505
08,47,1,0.4428697962798937,0.4428697962798937
08,48,16,1.0636176294622084,1.0636176294622084
08,49,5,0.7222302470027445,0.7222302470027445
08,50,12,0.7793219898688142,0.7793219898688142
08,51,68,5.5464926590538335,5.5464926590538335
08,52,67,2.560476936599534,2.560476936599534
08,53,0,0.0,0.0
08,54,0,0.0,0.0
08,55,3,0.2987750224081267,0.2987750224081267
08,56,0,0.0,0.0
09,57,11,1.0964912280701755,1.0964912280701755
09,58,1,0.3988831272437176,0.3988831272437176
09,59,7,0.5560409881642704,0.5560409881642704
09,60,186,3.281407123829014,3.281407123829014
09,61,58,2.0141686345325738,2.0141686345325738
09,62,30,2.1361435488464826,2.1361435488464826
09,63,41,1.8568840579710144,1.8568840579710144
10,64,121,3.1755196304849886,3.1755196304849886
10,65,55,2.0447616923191316,2.0447616923191316
10,66,25,1.6848631891090444,1.6848631891090444
10,67,14,1.4997321906802357,1.4997321906802357
10,68,127,3.781337462037754,3.781337462037754
10,69,14,1.0450100768828843,1.0450100768828843
10,70,24,1.0551305724083355,1.0551305724083355
10,71,21,1.030978447641023,1.030978447641023
10,72,55,2.1145713187235677,2.1145713187235677
10,73,54,1.8851457496945365,1.8851457496945365
