district,Denúncies per infracció de l’ordenança de  convivència ciutadana / 100 hab.,Incidents per degradació de l'espai públic / 1.000 hab.,Incidents en la convivència veïnal / 1.000 hab.,Incidents per activitats molestes a l’espai públic / 1.000 hab.,Incidents per activitats indegudes a l’espai públic / 1.000 hab.,Infraccions penals conegudes per la policia / 100 hab.,Delictes contra el patrimoni / 100 hab.,Delictes en l’àmbit familiar coneguts per la policia / 1.000 hab.,Incidències gestionades pel Sistema de Seguretat pública a Barcelona / 100 hab.
01,59.87,3.2,58.96,83.38,22.99,38.82,35.66,2.45,82.51
02,4.67,1.33,25.44,18.93,7.01,15.79,14.57,1.15,36.33
03,4.3,1.79,21.15,23.84,4.24,11.32,9.97,1.44,32.5
04,1.75,1.43,14.24,15.57,3.14,8.61,7.69,0.77,30.16
05,2.16,1.45,19.9,19.09,2.21,6.18,5.4,0.61,26.5
06,6.21,1.42,20.55,21.96,2.74,6.44,5.74,0.72,25.26
07,0.45,1.36,17.52,13.22,2.08,4.67,3.91,0.92,20.57
08,0.52,1.18,16.72,15.99,1.96,5.31,4.33,1.4,21.58
09,1.04,1.63,18.32,18.33,2.19,6.97,6.11,1.17,22.67
10,7.2,1.79,16.32,22.91,2.98,8.88,7.85,1.17,27.26
