district,id,#discos,#discos/1000hab,value
01,01,12,0.2546202974813809,0.2546202974813809
01,02,18,1.1528115793518636,1.1528115793518636
01,03,3,0.19972039145196724,0.19972039145196724
01,04,13,0.5828028333183897,0.5828028333183897
02,05,1,0.031592582061731905,0.031592582061731905
02,06,2,0.03896964264837691,0.03896964264837691
02,07,25,0.572816423792503,0.572816423792503
02,08,62,1.4813398958283557,1.4813398958283557
02,09,20,0.3469331112961421,0.3469331112961421
02,10,5,0.13094489838675885,0.13094489838675885
03,11,10,0.24965672200724004,0.24965672200724004
03,12,0,0.0,0.0
03,13,0,0.0,0.0
03,14,0,0.0,0.0
03,15,0,0.0,0.0
03,16,0,0.0,0.0
03,17,2,0.08366100560528737,0.08366100560528737
03,18,2,0.049037636385926196,0.049037636385926196
04,19,12,0.26125576939824086,0.26125576939824086
04,20,2,0.08386447500838645,0.08386447500838645
04,21,1,0.08430281571404485,0.08430281571404485
05,22,0,0.0,0.0
05,23,0,0.0,0.0
05,24,0,0.0,0.0
05,25,3,0.11689070718877849,0.11689070718877849
05,26,37,0.7857461402875406,0.7857461402875406
05,27,4,0.13620266957232363,0.13620266957232363
06,28,1,0.06413956769931371,0.06413956769931371
06,29,0,0.0,0.0
06,30,0,0.0,0.0
06,31,18,0.35584374505772576,0.35584374505772576
06,32,3,0.08763217853595841,0.08763217853595841
07,33,1,0.039143539358828826,0.039143539358828826
07,34,0,0.0,0.0
07,35,1,0.02767323444764224,0.02767323444764224
07,36,0,0.0,0.0
07,37,0,0.0,0.0
07,38,0,0.0,0.0
07,39,0,0.0,0.0
07,40,0,0.0,0.0
07,41,0,0.0,0.0
07,42,0,0.0,0.0
07,43,3,0.11303266644060134,0.11303266644060134
08,44,3,0.11761016151795516,0.11761016151795516
08,45,1,0.04078469758146743,0.04078469758146743
08,46,0,0.0,0.0
08,47,0,0.0,0.0
08,48,1,0.06647610184138802,0.06647610184138802
08,49,0,0.0,0.0
08,50,0,0.0,0.0
08,51,0,0.0,0.0
08,52,1,0.03821607368059005,0.03821607368059005
08,53,0,0.0,0.0
08,54,0,0.0,0.0
08,55,0,0.0,0.0
08,56,0,0.0,0.0
09,57,0,0.0,0.0
09,58,0,0.0,0.0
09,59,0,0.0,0.0
09,60,4,0.07056789513610782,0.07056789513610782
09,61,2,0.06945409084595083,0.06945409084595083
09,62,2,0.14240956992309883,0.14240956992309883
09,63,0,0.0,0.0
10,64,1,0.026243963888305688,0.026243963888305688
10,65,2,0.0743549706297866,0.0743549706297866
10,66,11,0.7413398032079795,0.7413398032079795
10,67,1,0.10712372790573112,0.10712372790573112
10,68,6,0.17864586434824034,0.17864586434824034
10,69,0,0.0,0.0
10,70,0,0.0,0.0
10,71,0,0.0,0.0
10,72,0,0.0,0.0
10,73,0,0.0,0.0
