district,id,#farmacies,#farmacies/1000hab,value
01,01,32,0.678987459950349,0.678987459950349
01,02,18,1.1528115793518636,1.1528115793518636
01,03,10,0.6657346381732242,0.6657346381732242
01,04,23,1.0311127051017663,1.0311127051017663
02,05,20,0.6318516412346381,0.6318516412346381
02,06,33,0.6429991036982191,0.6429991036982191
02,07,60,1.3747594171020072,1.3747594171020072
02,08,35,0.8362402637740718,0.8362402637740718
02,09,33,0.5724396336386345,0.5724396336386345
02,10,32,0.8380473496752566,0.8380473496752566
03,11,17,0.42441642741230806,0.42441642741230806
03,12,1,0.8748906386701663,0.8748906386701663
03,13,14,0.4607536613460589,0.4607536613460589
03,14,6,0.5824111822947,0.5824111822947
03,15,7,0.44055635974573604,0.44055635974573604
03,16,12,0.648228176318064,0.648228176318064
03,17,6,0.2509830168158621,0.2509830168158621
03,18,25,0.6129704548240775,0.6129704548240775
04,19,34,0.7402246799616825,0.7402246799616825
04,20,18,0.7547802750754781,0.7547802750754781
04,21,7,0.590119709998314,0.590119709998314
05,22,1,0.2158894645941278,0.2158894645941278
05,23,16,0.6451873059397556,0.6451873059397556
05,24,10,0.607053967097675,0.607053967097675
05,25,21,0.8182349503214494,0.8182349503214494
05,26,41,0.8706916689672748,0.8706916689672748
05,27,16,0.5448106782892945,0.5448106782892945
06,28,13,0.8338143800910782,0.8338143800910782
06,29,4,0.541198755242863,0.541198755242863
06,30,10,0.7623113279463333,0.7623113279463333
06,31,45,0.8896093626443144,0.8896093626443144
06,32,20,0.584214523573056,0.584214523573056
07,33,16,0.6262966297412612,0.6262966297412612
07,34,7,0.7808142777467931,0.7808142777467931
07,35,26,0.7195040956386982,0.7195040956386982
07,36,6,0.6382978723404256,0.6382978723404256
07,37,15,0.4783926008611067,0.4783926008611067
07,38,7,0.6207324643078833,0.6207324643078833
07,39,5,0.7434944237918215,0.7434944237918215
07,40,4,0.7916089451810805,0.7916089451810805
07,41,3,0.5276116778051354,0.5276116778051354
07,42,0,0.0,0.0
07,43,19,0.7158735541238085,0.7158735541238085
08,44,18,0.7056609691077309,0.7056609691077309
08,45,13,0.5302010685590767,0.5302010685590767
08,46,6,0.39052330122363965,0.39052330122363965
08,47,2,0.8857395925597874,0.8857395925597874
08,48,8,0.5318088147311042,0.5318088147311042
08,49,4,0.5777841976021956,0.5777841976021956
08,50,9,0.5844914924016106,0.5844914924016106
08,51,8,0.6525285481239804,0.6525285481239804
08,52,11,0.4203768104864906,0.4203768104864906
08,53,2,0.27559597629874605,0.27559597629874605
08,54,0,0.0,0.0
08,55,4,0.3983666965441689,0.3983666965441689
08,56,0,0.0,0.0
09,57,5,0.4984051036682616,0.4984051036682616
09,58,2,0.7977662544874352,0.7977662544874352
09,59,6,0.47660656128366036,0.47660656128366036
09,60,42,0.7409628989291321,0.7409628989291321
09,61,20,0.6945409084595082,0.6945409084595082
09,62,10,0.7120478496154942,0.7120478496154942
09,63,9,0.4076086956521739,0.4076086956521739
10,64,23,0.6036111694310309,0.6036111694310309
10,65,14,0.5204847944085063,0.5204847944085063
10,66,7,0.47176169295053244,0.47176169295053244
10,67,5,0.5356186395286556,0.5356186395286556
10,68,24,0.7145834573929614,0.7145834573929614
10,69,9,0.6717921922818542,0.6717921922818542
10,70,14,0.6154928339048624,0.6154928339048624
10,71,12,0.5891305415091561,0.5891305415091561
10,72,14,0.5382545174932718,0.5382545174932718
10,73,18,0.6283819165648455,0.6283819165648455
