district,id,value,mean-price(€),mean-size(m^2),mean-price-size(€/m^2)
01,01,1283.7,1283.7,69.637,19.614
01,02,1816.102,1816.102,89.355,21.05
01,03,1181.4560000000001,1181.4560000000001,50.228,24.215
01,04,1181.4560000000001,1181.4560000000001,50.228,24.215
02,05,1668.226,1668.226,95.24700000000001,18.86
02,06,1421.754,1421.754,77.453,19.51
02,07,2374.306,2374.306,113.375,22.37
02,08,1802.48,1802.48,94.45299999999999,20.651
02,09,1521.596,1521.596,89.634,17.823
02,10,1521.596,1521.596,89.634,17.823
03,11,1224.469,1224.469,68.161,18.594
03,12,950.0,950.0,90.0,10.556
03,13,977.794,977.794,75.059,13.196
03,14,1378.545,1378.545,81.40899999999999,16.895
03,15,1148.978,1148.978,70.23899999999999,16.791
03,16,1189.375,1189.375,74.275,16.79
03,17,1069.026,1069.026,68.065,16.657
03,18,1182.161,1182.161,73.161,17.093
04,19,1808.1170000000002,1808.1170000000002,106.26899999999999,17.658
04,20,1496.0729999999999,1496.0729999999999,109.08200000000001,14.217
04,21,4559.308,4559.308,236.77599999999998,19.005
05,22,3745.6,3745.6,283.48,13.367
05,23,2445.137,2445.137,134.056,20.305999999999997
05,24,2968.889,2968.889,160.235,19.051
05,25,3154.954,3154.954,184.908,18.384
05,26,2749.114,2749.114,144.19799999999998,19.27
05,27,1506.086,1506.086,93.889,16.794
06,28,1830.392,1830.392,119.37100000000001,16.727999999999998
06,29,1241.5,1241.5,95.0,13.877
06,30,1508.111,1508.111,103.978,15.62
06,31,1716.6870000000001,1716.6870000000001,92.14299999999999,20.471
06,32,1357.33,1357.33,86.193,17.186
07,33,1158.488,1158.488,81.465,15.109000000000002
07,34,1255.862,1255.862,85.069,15.714
07,35,1189.032,1189.032,88.419,14.652000000000001
07,36,1412.714,1412.714,137.171,12.436
07,37,976.316,976.316,75.263,13.748
07,38,875.217,875.217,83.609,11.408
07,39,1550.75,1550.75,111.5,13.091
07,40,1550.75,1550.75,111.5,13.091
07,41,1023.529,1023.529,84.0,12.442
07,42,1023.529,1023.529,84.0,12.442
07,43,1056.3039999999999,1056.3039999999999,86.609,12.732000000000001
08,44,926.765,926.765,75.608,12.614
08,45,1011.1110000000001,1011.1110000000001,81.556,12.523
08,46,897.812,897.812,66.375,14.161
08,47,897.812,897.812,66.375,14.161
08,48,907.857,907.857,82.5,11.252
08,49,811.538,811.538,58.692,15.269
08,50,811.538,811.538,58.692,15.269
08,51,958.75,958.75,78.333,14.134
08,52,817.273,817.273,66.0,12.449000000000002
08,53,687.5,687.5,55.5,12.449000000000002
08,54,1036.4289999999999,1036.4289999999999,106.571,10.054
08,55,1036.4289999999999,1036.4289999999999,106.571,10.054
08,56,1036.4289999999999,1036.4289999999999,106.571,10.054
09,57,863.2139999999999,863.2139999999999,82.14299999999999,11.272
09,58,,,,
09,59,921.154,921.154,76.692,13.034
09,60,1634.239,1634.239,82.78299999999999,15.035
09,61,1123.7839999999999,1123.7839999999999,92.21600000000001,13.767000000000001
09,62,1185.0,1185.0,75.0,15.276
09,63,1210.125,1210.125,86.275,14.630999999999998
10,64,1319.745,1319.745,76.314,17.967
10,65,1110.556,1110.556,68.0,16.679000000000002
10,66,1614.2220000000002,1614.2220000000002,94.93700000000001,17.865
10,67,2000.0,2000.0,108.514,19.575
10,68,1873.994,1873.994,88.11,21.635
10,69,3405.1490000000003,3405.1490000000003,120.821,26.717
10,70,1712.5,1712.5,89.9,18.439
10,71,1344.18,1344.18,84.115,16.377
10,72,1390.9379999999999,1390.9379999999999,93.43799999999999,14.616
10,73,915.8330000000001,915.8330000000001,72.333,13.0
